Município;UF;Índice de Progresso Social;ÁREA km²;PIB PER CAPITA;Necessidades Humanas Básicas;Fundamentos do Bem-estar;Oportunidades;Nutrição e Cuidados Médicos Básicos;Água e Saneamento;Moradia;Segurança Pessoal;Acesso ao Conhecimento Básico;Acesso à Informação e Comunicação;Saúde e Bem-estar;Qualidade do Meio Ambiente;Direitos Individuais;Liberdades Individuais e de Escolha;Inclusão Social;Acesso à Educação Superior;Cobertura Vacinal (Poliomielite);Hospitalizações por Condições Sensíveis à Atenção Primária;Mortalidade Ajustada por Condições Sensíveis à Atenção Primária;Mortalidade Infantil até 5 Anos;Subnutrição;Abastecimento de Água via Rede de Distribuição;Esgotamento Sanitário Adequado;Índice de Abastecimento de Água;Índice de Perdas de Água na Distribuição;Domicílios com Coleta de Resíduos Adequada;Domicílios com Iluminação Elétrica Adequada;Domicílios com Paredes Adequadas;Domicílios com Piso Adequado;Assassinatos de Jovens;Assassinatos de Mulheres;Homicídios;Mortes por Acidente de Transporte;Abandono no Ensino Fundamental;Abandono no Ensino Médio;Evasão no Ensino Médio;Distorção Idade-Série no Ensino Médio;Ideb Ensino Fundamental;Reprovação Escolar no Ensino Médio;Cobertura de Internet Móvel (4G/5G);Densidade de Internet Banda Larga Fixa;Densidade de Telefonia Móvel;Qualidade de Internet Móvel;Expectativa de Vida;Mortalidade entre 15 e 50 anos;Mortalidade por Doenças Crônicas Não Transmissíveis;Obesidade;Suicídios;Consumo de Alimentos Ultraprocessados;Áreas Verdes Urbanas;Emissões de CO?e por Habitante;Focos de Calor;Índice de Vulnerabilidade Climática dos Municípios;Supressão da Vegetação Primária e Secundária;Acesso a Programas de Direitos Humanos;Existência de Ações para Direitos de Minorias;Índice de Atendimento à Demanda de Justiça;Taxa de Congestionamento Líquido de Processos;Resposta a Processos Previdenciários;Resposta a Processos Familiares;Acesso à Cultura, Lazer e Esporte;Gravidez na Adolescência (<19 anos);Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD);Praças e Parques em Áreas Urbanas;Paridade de Gênero na Câmara Municipal;Paridade de Negros na Câmara Municipal;Violência contra Indígenas;Violência contra Mulheres;Violência contra Negros;Famílias em Situação de Rua;Empregados com Ensino Superior;Mulheres Empregadas com Ensino Superior;Nota Mediana do Enem
Mairi;BA;54,79;906,68;8808,56;67,93;54,76;41,7;72,31;68,72;90,87;39,81;62,15;47,19;55,6;54,08;50,07;51,68;43,6;21,46;88,08;1660,39;115,12;8,89;6,65;67,91;72,75;59,84;17,8;67,77;97,16;84,46;98,56;145,83;7,49;47,53;6,79;2,22;9;11,25;46,4;4,08;4,75;56,62;14,21;39,53;85,06;69,63;2,8;295,69;16,43;13,58;67,09;0,97;6,92;3,96;48,59;48,99;14;10;106;67;2987,83;1578,63;4;15,36;0,3;0,97;0,18;0,79;238,1;289,76;530,81;0,36;23,17;31,2;511,72
Malhada;BA;54,24;1979,19;11963,99;73,39;48,15;41,18;70,97;61,42;86,85;74,33;43,67;43,67;57,74;47,53;14,88;47,08;74,7;28,06;92,32;1503,66;140,81;16,35;5,98;52,99;73,74;53,18;18,69;64,02;91,22;79,58;96,29;26,65;0;9,74;11,37;18,6;10,93;9,25;46,57;4,13;4,8;72,42;4,61;25,49;79,88;69,02;2,75;326,55;14,88;3,9;64,25;0,95;15,19;12,34;57,28;41,24;6;0;35;92;1741,83;1543,08;1;18,23;0,31;1,49;0,18;0,99;;16,54;38,2;1,92;37,45;48,39;476,91
Malhada de Pedras;BA;57,47;550,55;9053,46;72,12;58,1;42,19;83,49;41,41;87,74;75,83;70,3;40,35;64,33;57,42;7,97;52,36;87,59;20,84;96,15;237,55;109,42;7,78;3,47;35,34;7,27;44,02;21,52;33,77;89,75;97,59;99,38;13,23;0;2,88;36,91;0,77;3,75;8,63;40,47;5,28;10,12;54,81;0,14;44,21;73,11;69,83;1,87;306,49;9,4;11,53;63,37;2,26;7,59;32,3;46,34;18,54;0;0;119,2;50,6;2113,75;848,04;2;10,02;0,29;0;0;0,89;0;5,88;0;0;18,61;23,67;507,94
Manari;PE;54,05;386,57;5235,45;64,23;57,7;40,24;75,75;30,69;87,51;62,98;71,4;40,63;58,53;60,23;26,89;47,06;66,44;20,56;88,67;636,18;135,36;16,43;4,05;25,96;3,69;37,64;48,65;26,76;95,1;96,99;97,92;33,39;4,19;23,57;9,26;0,82;0,1;11,65;26,42;3,67;2,02;61,92;0,88;25,5;82,02;65,89;1,44;342,75;17,19;5,26;69,74;0,92;1,91;2,1;50,25;16,75;4;6;46,5;90,33;924,61;582,61;4;21,86;0,31;0,3;0,36;0,94;0;95,56;116,82;0;24,59;30,35;504,56
Manoel Vitorino;BA;52,92;2201,76;9855,19;68,37;49,34;41,06;76,89;50,72;78,55;67,31;60,29;26,29;60;50,78;23,31;46,08;74,41;20,44;88,47;695,63;118,34;19,43;3,45;52,08;2,14;51,08;9,98;53,14;90,98;49,55;96,54;32,72;4,87;12,99;23,45;4,65;9,75;8,52;36,8;3,61;7,22;43,49;4,17;35,67;29,99;69,48;2,25;311,87;13,82;3,61;90,56;3,22;12,16;33,19;53,9;35,12;5;3;101,73;60,45;1454,06;991,47;1;17,57;0,32;0,8;0;0,64;0;8,76;61,77;1,31;29,6;37,91;476,91
Mansidão;BA;56,27;3129,59;6515,6;70,61;57,86;40,35;73,62;49;75,55;84,26;70,59;35,49;74,83;50,53;4,77;42,63;89,27;24,74;91,57;285,56;108,75;20,92;5,49;53,52;7,58;52,51;29,57;39,14;93,25;63,14;83,75;0;0;1,8;4,79;1,8;3,85;7,55;34,18;4,35;3,37;35,59;0,46;25,62;86,15;70,12;0,92;237,86;6,72;7,18;54,03;0,07;21,09;28,02;49,6;27,64;1;0;75,33;67;4610,77;2490,21;3;19,02;0,37;0;0,22;0;0;3,7;0;0;34,31;42,83;457,16
Maracanaú;CE;59,05;105,08;49771,22;68,53;65,5;43,11;73,34;68,64;91,9;40,23;76,97;69,79;53,4;61,85;25,41;56,05;50,31;40,65;62,25;677,52;126,18;11,48;3,48;91,11;53,84;62,52;51,22;95,35;88,78;81,99;98,83;111,43;6,89;46,5;8,1;0,5;3,82;9,12;18,73;5,38;1,78;100;13,59;90,7;93,88;72,27;2,71;427,2;25,51;5,29;66,95;8,35;2,03;0;52,51;27,67;5;4;119,42;64,62;1277;959,28;5;11,9;0,28;2,58;0,48;0,52;10,55;123,21;131;63,15;60,96;68,26;505,7
Maracás;BA;60,2;2413,27;22646,81;74,79;61,73;44,09;73,1;59,53;92,37;74,17;70,15;58,25;58,92;59,59;40,61;53,06;55,55;27,16;89,51;2855,8;130,05;18,09;4;59,23;7,8;68,52;10,26;78,77;92,23;90,98;98,08;36,09;0;10,14;20,28;2,27;5,62;5,75;32,95;4,42;4,78;74,41;0,96;81,49;94,6;69,8;2,26;334,5;16,51;7,24;70,32;1,7;9,4;16,29;38,36;35,05;9;10;109;84,5;3807,71;1409,96;4;16,23;0,29;4,11;0,36;0,85;57,47;216,19;48,91;1,12;34,37;43,36;515,91
Maragogipe;BA;54,18;437,61;10901,27;65,28;57,85;39,4;76,06;58,09;79,06;47,92;64,06;53,47;55,58;58,3;13,46;51,39;80,35;12,41;94,71;496,24;194,19;11,7;3,8;55,16;55,42;60,34;37,85;58,67;68,98;73,15;96,73;77,65;8,17;30,12;6,14;2,68;5,75;7,38;42,25;3,63;8,03;81,4;6,72;44,04;92,69;72,58;2,84;465,56;17,9;2,23;74,04;6,76;1,65;0,56;60,24;20,25;6;0;41;90;3017,45;1844,58;3;16,28;0,28;0,46;0,15;0;0;8,17;7,16;1,88;9,31;11,08;478,09
Maraial;PE;51,55;199,87;9877,56;60,52;57,54;36,58;66,81;47,12;80,27;47,9;70,09;53,67;48,03;58,36;5,52;44,25;68,94;27,61;70,09;715,74;215,23;18,66;3,84;44,99;52,59;44,9;49,7;67,48;92,31;67,58;84,2;100,09;0;44,88;0;1,65;1,4;7,78;34,88;3,94;5,45;91,28;2,77;47,96;86,11;66,85;3,62;415,12;15,16;2,67;63,86;3,27;6,11;1,07;49,12;22,67;0;0;69;92;1666,51;675,6;2;23,75;0,32;1,29;0,44;0,66;0;36,53;169,78;0,96;26,45;36,66;494,27
Maranguape;CE;57,15;583,5;15252,57;66,19;65,31;39,97;80,41;59,62;91,01;33,71;79,78;62,41;52,07;66,97;17,12;55,8;61,25;25,73;88,17;554,12;118,72;12,16;3;84,16;16,17;56,91;45,13;91,08;93,77;78;96,98;123,36;9,62;48,53;11,61;0,3;1,55;6,97;15,27;5,17;1,38;98,51;10,71;62,27;92,72;72,27;2,71;426,23;27,99;4,38;74,2;2,39;1,75;1,9;39,74;13,16;6;0;73,67;86,86;1677,78;924,05;6;11,7;0,29;0,97;0,35;0,97;0;180,15;90,68;24,56;27,52;34,27;510,84
Maraú;BA;51,07;848,88;13418,84;56,69;57,29;39,25;77,22;36,79;73,46;39,28;56,4;47,6;65,52;59,64;22,54;38,14;76,19;20,12;99,19;817,25;121,85;18,03;4,42;28,23;40,48;17,53;16,33;49,46;70,47;65,25;88,91;98,59;4,16;48,82;12,23;5,1;8,37;10,45;56,55;3,64;5,88;48,73;2,11;72,37;81,98;73,08;1,74;296,98;17,86;5,71;84,43;6,2;3,4;3,67;52,94;21,59;8;0;144,5;76;1037;1258,2;2;23,86;0,39;0;0;0,71;0;10,41;24,67;2,54;22,73;29,87;473,68
Marcionílio Souza;BA;51,65;1099,28;10003,28;65,99;54,12;34,84;71,59;63,38;86,94;42,05;64,85;48,53;54,57;48,53;11,72;49,31;62,77;15,56;79,19;655,74;149,25;17,5;4,46;70,75;2,5;71,37;11,51;72,2;94,35;69,77;97,45;113,21;7,18;38,85;30,21;1,25;9,43;10,12;38,63;4,47;8,55;49,91;3,19;65,97;88,45;69,24;2,7;367,13;20,21;7,19;52,98;1,23;18,02;6,47;52,85;51,99;1;2;113;68;2971,96;817,94;2;21,85;0,3;6,09;0,44;0;178,57;34,47;12,76;0,66;11,63;14,28;478,92
Marco;CE;58,38;573,61;14551,55;68,62;62,14;44,36;78,32;55,49;87,11;53,57;80,58;60,42;49,77;57,8;16,58;49,04;70,66;41,16;98,42;915,83;167,66;14,6;3,15;75,37;6,39;47,64;26,34;68,36;91,66;74,39;98,3;59,8;2,61;30,23;21,71;0,25;1,07;8,72;9,87;5,42;1,68;86,59;14,67;59;93,53;69,05;2,64;536,37;15,74;6,2;77,77;0,65;8,36;6,59;45,84;18,78;3;0;680,75;74;519,6;728,36;3;16,51;0,31;0,28;0,91;0,38;0;78,26;66,13;2,12;56,08;79,12;481,49
Martinópole;CE;59,22;303,44;8638,73;72,08;63,73;41,85;80,51;58,12;77,03;72,66;80,31;55,14;57,73;61,73;13,4;47,55;68,7;37,74;94,4;633,91;109,71;8,95;4,25;69,42;3,31;60,98;20,73;6,77;96,24;66,51;94,95;11,14;0;13,83;18,44;0,28;3,27;7,58;21,35;6,31;1,52;84,83;3,02;52,29;94,01;70,57;1,88;405,25;19,74;12,91;54,65;5,29;2,38;12,91;50,78;11,89;3;0;70;69;1075,57;852,37;3;19;0,31;0,68;0,22;0,71;0;73,18;43,69;3,17;57,77;68,7;467,09
Mascote;BA;53,75;742,69;11668,89;69,9;52,69;38,65;70,34;74,82;90,62;43,82;59,34;46,4;54;51,01;9,68;45,25;73,34;26,32;80,62;851,15;114,19;20,44;5,52;81,79;46,06;78,41;19,73;88,66;88,84;83,4;96,9;83,82;8,92;36,92;33,96;2,5;8,75;12,43;48,15;3,61;6,25;71,49;2,56;35,15;86,15;69,64;2,71;285,93;23,49;7,38;81,09;2,98;38,25;2,22;49,28;32,84;1;0;107,33;50,67;2278,17;869,38;2;27,76;0,3;2,84;0,22;0,81;0;20,8;40,84;4,77;34,07;43,73;472,81
Massapê;CE;60,05;567,78;9625,38;73,29;64,09;42,77;77,32;59,58;90,39;65,89;81,52;57,92;56,85;60,09;30,42;52,74;64,12;23,81;90,49;678,58;146,15;15,68;3,33;76,79;39,33;51,31;41,59;79,85;94,61;78,84;98,2;38,58;3,47;16,45;23,87;0,2;3;6,67;12,7;5,91;1,7;91,71;8,97;48,84;94,21;71,7;2,34;400,51;18,28;10,61;72,13;1,1;2,39;4,51;50,82;10,14;3;8;63,67;73,33;880,74;550,01;3;14,89;0,27;0,7;0,46;0,89;0;96,68;158,56;13,25;30,19;38,87;487,9
Mata de São João;BA;55,47;605,17;29850,24;59,4;61,29;45,73;71,41;71,73;84,81;9,64;68,29;66,89;53,95;56,03;11,59;56,2;71,86;43,26;87,08;947,94;188;19,27;3,91;68,51;47,59;97,7;46,14;78,7;73,74;78,86;98,14;236,59;16,2;87,39;15,98;0,27;8,63;7,83;40,15;5,24;11,8;93,63;9,28;90,78;93,42;74,09;3,42;447,83;23,57;3,52;48,28;3,39;3,87;0;55,85;25,85;3;0;217,33;51;4279,05;1572,23;7;13,81;0,28;1,65;0,31;0,69;0;45;30,52;3,22;65,71;74,21;491,89
Matina;BA;50,93;773,28;8693,92;66,03;55,01;31,76;72,97;37,79;77,02;76,34;64,97;39,71;60,05;55,32;2,62;46,77;51,82;25,84;99,44;636,08;108,83;26,8;5,48;26,89;16,66;37,51;22,13;25,57;89,23;63,98;94,64;9,85;0;4,84;21,78;1,77;8,43;7,88;47,08;4,24;5,37;46,66;7;48,41;66,23;69,37;2,16;320,58;16,99;7,74;55,92;5,93;9,57;14,52;52,54;28,71;0;0;125;76;3938,43;1831,54;2;16,59;0,34;2,62;0,44;0,76;1666,67;58,32;66,59;0;32,26;42,91;478,8
Mauriti;CE;58,65;1079,01;10995,94;69,77;62,91;43,27;75,87;48,86;88,57;65,8;80,1;60,49;57,95;53,1;22,71;52,32;73,04;25,02;90,44;1554,44;122,12;17,12;3,9;57,48;60,72;32,31;49,36;58,94;92,42;87,52;96,99;36,83;5,44;16,68;23,27;0,3;0,83;6,93;14,33;5,02;0,9;92,46;8,1;62,37;93,74;71,32;2,37;392,11;16,86;10,1;62,62;2,22;8,11;12,29;52,42;37,5;7;0;86;61;1200,77;661,47;4;15,22;0,29;0,51;0,31;0,85;0;41,74;22,27;3,86;30,49;38,74;490,89
Medeiros Neto;BA;56,36;1311,74;22614,45;70,37;55,24;43,46;73,79;79,6;91,47;36,61;64,25;53,17;45,14;58,38;33,56;49,74;59,55;31,01;99,47;1744,06;216,68;11,82;4,02;86,41;60,82;79,58;17,08;86,44;86,21;87,36;99,33;99,74;9,09;41,45;23,43;2,37;8,55;10,3;41,23;4,38;5,3;82,72;0,32;72,93;74,68;71,61;3,51;481,49;26,19;6,01;81,87;7,3;15,97;2,7;51,32;2,8;4;12;112,5;89,5;3339,3;1969,94;2;17,82;0,29;1,18;0;0,84;0;236,32;172,78;3,5;39,9;51,73;485,02
Meruoca;CE;60,42;151,65;8269,53;70,81;66,71;43,74;82,58;39,62;85,44;75,62;82,86;64,73;58,93;60,31;20,23;54,52;70,31;29,91;90,27;660,59;111,54;9,39;2,77;53,82;3,61;30,42;40,31;58,72;90,62;74,83;97,72;16,38;0;6,6;11,88;0,05;1,47;6,9;16,68;6,53;2,78;98,17;11,47;72,57;92,88;70,68;2,33;338,89;15,04;11,55;69,82;0,08;0,97;1,98;55,03;1,7;4;0;392,87;53,47;547,69;626,6;5;12,21;0,29;0,92;0,55;0,76;0;66,17;47,35;4,82;42,82;53,74;471,93
Miguel Calmon;BA;53,06;1599,67;10868,39;64,81;57,94;36,41;63,29;74,25;82,42;39,3;65,11;53,75;56,45;56,45;12,05;54,39;52,26;26,95;81,49;1338,61;130,57;18,28;8,45;75,12;51,85;79,28;16,56;67,44;90,04;58,48;96,96;99,19;11,18;34,87;15,41;3,82;4,38;7,32;42,18;3,91;5,12;68,79;12,62;48,11;94,81;69,69;2,91;303,35;19,53;7,3;50,51;2,17;12,32;4,87;42,6;43,97;2;0;343;51;1255,77;1649,49;7;16,11;0,3;2,12;0,18;0,78;133,33;150,14;85,42;1,83;31,04;40,52;498,08
Milagres;BA;58,56;420,36;12687,28;70,84;57,23;47,61;74,05;69,36;90,35;49,59;63,44;53,29;55,57;56,62;38,19;49,16;79,28;23,79;96,75;896,49;176,06;20,78;3,78;83,78;12,38;83,43;33,16;75,13;94,61;81,63;98,05;94,19;0;34,32;30,71;3,52;9,13;6,12;29,15;3,74;11,98;70,38;5,01;54,9;95,33;72,32;4,08;415,03;11,12;3,01;41,47;2,92;9,09;4,52;48,19;28,59;11;7;99,5;84,5;3180,12;1900,63;2;18,31;0,29;0,46;0,67;0,49;0;8,81;29,71;3,63;27,62;39,49;497,36
Milagres;CE;58,93;579,1;10771,4;71,14;61,56;44,1;78,14;47,79;89,14;69,47;79,68;54,55;55,39;56,64;32,58;52,35;59,97;31,5;94,15;1528,23;114,09;11,97;4,24;45,04;52,07;37,49;32,7;46,18;95,75;91,4;98,36;17,11;5,04;7,72;22,39;0,22;1,67;4,77;19,6;4,94;1,6;79,12;10,5;51,92;88,02;71,61;2,43;411,4;18,75;13,13;67,16;2,48;5,53;8,49;48,52;36,97;7;4;90;57;967,46;434,34;3;13,98;0,29;1,15;0,55;0,62;0;270,49;294,24;4,73;40,58;54,27;510,97
Milhã;CE;54,45;502,14;13441,45;65,43;60,42;37,5;76,42;42,3;85,54;57,45;82,09;53,63;55,84;50,11;11,06;51,49;61,79;25,66;83,11;900,38;104,4;21,07;3,13;54,43;10,71;56,44;78,13;51,1;97,12;77,13;94,81;67,46;0;31,43;38,24;0,35;3,83;8,13;16,3;7,01;2,07;87,21;7,82;42,59;87,89;72,01;2,23;414,69;24,31;14,16;42,63;1,7;8,95;26,91;53,17;49,45;1;1;201;78,67;1006,07;1016,76;3;16,52;0,29;2,56;0;0,54;0;87,84;298,51;0,92;28,71;38,66;506,63
Miraíma;CE;56,86;708,68;7696,86;68,15;62,51;39,92;81,3;46,66;81,84;62,82;78,26;50,19;63,81;57,79;16,15;50,6;69,94;22,99;92,37;439,91;110,48;10,75;3,5;65,3;3,03;40,78;40,99;48,7;85,43;74,27;95,62;33,2;7,24;23,95;11,27;0,5;3,33;5,18;18,85;4,72;0,3;74,93;11,31;31,94;89,89;71,7;1,8;365,16;21,03;4,23;38,06;1,66;3,65;5,64;49,07;31,96;6;0;92;78;3154,08;1067,78;2;15,56;0,29;1,12;0,22;0,57;0;28,96;97,9;1,95;32,73;36,8;455,55
Mirandiba;PE;57,79;821,68;11274,67;74,28;56,87;42,23;78,42;66,06;81,83;70,8;76,01;43,21;56,42;51,85;42,61;47,4;59,66;19,25;93,83;1044,28;129,16;17,3;3,15;52,52;50,4;91,61;38,56;43,39;92,98;77,63;90,26;48,37;0;18,35;15,53;0,47;0,05;5,33;27,2;4,16;3,52;50,77;6,95;43,53;80,32;71,12;2,59;455,34;13,72;9,88;57,05;0,75;8,23;6,35;58,55;14,88;7;8;91;31,5;1501,38;453,62;1;19,54;0,29;0,67;0;0,49;6,02;137,41;53,42;3,46;22,54;27,57;489,99
Mirangaba;BA;52,66;1751,78;8801,94;69,61;50,63;37,75;76,36;43,88;84,04;74,16;57,25;36,96;55,24;53,06;8,01;47,67;73,01;22,31;88,63;468,53;102,8;29,9;2,64;51,12;21,93;33,75;33,28;62,11;93,24;67,04;95,76;18,75;0;10,17;10,17;4,73;11,22;10,5;50,18;3,98;6,08;37,08;4,51;25,07;86,11;66,12;2,08;294,85;13,25;14,3;82,5;5,09;10,01;17,8;51,95;45,7;1;0;114,43;59,29;2055,31;1317,47;2;20,46;0,29;0,5;0,55;0,69;0;45,7;34,65;0,91;26,09;33,78;468,62
Mirante;BA;55;1172,86;7526,94;69,21;53,69;42,09;78,34;41,51;82,69;74,3;65,11;31,8;65,07;52,78;13,27;47,03;83,46;24,59;94,57;260,32;82,87;24,55;3,77;26,62;60,19;24,65;16,69;27;94,86;73,83;99,3;14,8;0;9,82;2,45;2,87;9,43;8,85;38,63;4,56;4,8;30,95;2,42;33,98;66,67;68,33;1,35;233,29;15,19;7,36;78,02;1,15;6,19;24,54;52,05;38,79;3;0;120;46;2396,95;1237,93;1;9,88;0,35;0,17;0,44;0,86;0;35,52;0;0,86;21,34;28,97;491,41
Missão Velha;CE;57,97;613,32;13405,82;70,07;62,04;41,81;75,05;56,34;86,05;62,84;72,71;59,37;60,37;55,7;27,97;50,11;65,01;24,16;85,84;1908,61;137,36;14,46;3,63;66,54;74,11;33,83;39,72;50,14;89,97;86,87;95,5;48,66;4,01;23,9;21,73;0,8;5,58;11,27;19,3;4,72;2,03;93,13;11,28;52,92;92,53;70,21;2,55;417,95;12,38;8,69;20;1,28;4,94;13,58;50,47;31,12;10;0;88;68;1270,15;693,26;3;15,71;0,3;0,64;0,31;0,39;0;126,14;91,6;1,71;30,11;37,78;483,92
Mombaça;CE;57,8;2115,75;11646,07;71,31;58,89;43,21;80,09;44,59;88,11;72,46;77,92;51,75;51,31;54,56;28,82;50,69;67,76;25,55;95,37;1216,45;106,53;11,58;3,9;46,02;43,14;31,24;33,63;48,73;96,38;86,84;97,07;21,82;0;14,31;23,85;1,25;3,35;7,8;18,22;5,53;0,7;72,7;9,09;43,81;91,17;69,09;2,42;424,74;20,11;10,6;77,56;0,12;10,06;10,6;47,18;32,74;4;7;122,5;71;1800,83;737,92;4;19,33;0,29;2,33;0,77;0,77;0;101,04;104,04;4,78;31,22;42,03;499,66
Monsenhor Tabosa;CE;53,1;892,54;9163,96;57,22;54,77;47,33;78,62;48,61;89,08;12,55;75,77;45,7;48,34;49,25;41,7;50,57;62,37;34,69;98,71;1388,29;135,02;22,12;2,47;56,77;3,56;43,1;18,12;56,86;95,83;86,76;97,19;177,73;16,25;69,97;10,5;1,65;1,8;7;37,17;5,74;1,1;76,28;6,96;46,92;64,11;71,37;3,47;409,4;20,94;10,2;84,26;1,54;4,92;83,97;52,24;50,78;7;8;170;47;893,32;514,15;3;14,71;0,3;0,88;0,73;0,9;6,55;69,63;225,23;2,07;50,66;63,93;475,48
Monte Santo;BA;51,99;3034,2;9300,73;65,42;52,1;38,43;72,22;41,73;82,84;64,91;59,67;34,84;61,47;52,43;18,39;47,16;66,06;22,14;72,56;657,66;94,15;19,59;4,61;26,31;54,26;36,19;29,74;33,85;91,61;76,25;98,05;35,37;2,12;18,84;15,07;5,87;5;8,75;46,35;3,54;6,13;52,65;3,82;28,66;61,46;66,96;2,14;255,64;17,68;5,02;32,59;2,32;6,39;3,98;51,78;58,23;4;4;51;92;1879,76;1851,85;3;18,7;0,32;0,6;0,31;0,86;19,84;27,57;29,05;6,28;26,34;33,81;483,95
Morada Nova;CE;56,03;2763,97;19689,62;68,12;61,25;38,74;78,43;75,22;88,63;30,19;73,86;60,75;53,89;56,49;7,5;53,71;67,92;25,82;86,22;868,5;105,49;11,53;3,97;82,83;18,08;95,42;24,66;66,2;95,02;79,67;97,56;114,58;12,84;53,9;35,15;1,05;2,5;8,97;31,83;4,99;1,72;82,96;16;63,18;93,15;70,47;2,92;391,35;17,2;10,42;62,36;4,28;7,35;4,56;50,68;30,97;1;0;97,67;82,83;1830,16;855,22;4;13,73;0,28;0,94;0,8;0,2;0;80,24;128,79;2,75;29,43;34,46;515,82
Moraújo;CE;58,45;414,45;8939,26;70,22;60,99;44,14;75,29;47,87;88,73;68,99;76,9;47,93;62,96;56,17;14,88;50,15;87,08;24,45;76,81;779,62;153,06;10,89;3,39;62,52;14,01;35,18;28,71;59,03;96,1;82,56;97,87;0;8,05;8,07;36,35;0,78;4,33;8,52;20,62;5,62;2,08;80,64;5,93;43,17;73,23;71,1;1,99;459,26;14,78;9,09;4,7;0;2,78;23,02;53,95;13,94;3;0;113,5;55;954,28;962;2;13,98;0,3;0,88;0,67;0,68;;14,49;0;4,67;30,99;36,06;499,28
Moreilândia;PE;57,22;404,29;8447,89;67,24;62,2;42,22;77,55;43,65;86,65;61,11;77,9;55,11;63,5;52,29;21,56;47,17;70,71;29,44;90,72;492,13;101,12;19,98;3,85;47,37;10,39;49,8;45,15;50,12;91,71;85,99;96,43;9,88;12,64;14,23;3,16;0,88;0,42;5,58;20,55;4,58;2,02;81,62;1,43;55,26;96,33;71,05;1,85;303,99;12,05;14,23;70,69;2,58;9,24;23,72;50,62;46,16;3;4;102;72;1010,66;827,7;2;21,41;0,29;0,4;0,44;0,87;0;34,13;107,18;0,59;36,68;46,87;510,63
Moreno;PE;57,66;194,2;15595,28;62,87;66,14;43,98;70,87;66,8;79,63;34,17;74,57;65,19;56,63;68,17;29,65;49,35;64,71;32,22;74,38;827,18;171,84;17,73;3,61;67,58;50,41;81,67;46,25;67,27;73,02;70,23;94,2;105,92;8,3;47,41;9,4;1,4;1,62;5,38;20,62;3,84;3,23;97,2;9,59;77,12;94,17;73,28;2,74;488,03;17,64;4,07;63,32;10,15;1,56;0,72;46,05;13,61;4;6;209,33;58;1543,27;499,7;3;18,04;0,3;0,46;0,31;0,77;25,06;25,6;47,58;3,85;40,34;47,27;513,28
Morpará;BA;55,44;2093,87;9626;70,01;54,41;41,92;76,43;58,3;89,61;55,69;67,59;47,02;52,64;50,39;7,61;45,19;89,19;25,67;96,3;300,88;121,55;19,77;4,53;64,29;9,22;68,58;28,26;63,14;95,38;92,08;93,47;59,17;6,41;25,06;4,17;2,92;6,55;5,43;35,47;3,82;3,42;62,32;0,15;64,46;76,13;68,9;2,83;386,25;15,61;9,38;75,36;0,2;26,42;15,01;51,47;19,84;1;0;154,5;79;1468,35;1214,78;2;16,89;0,34;0;0,67;0,5;0;8,54;0;1,31;32,7;41,46;459,46
Morrinhos;CE;57,28;411,59;8243,58;71,89;63,29;36,67;82,78;51,49;86,97;66,33;80,18;56,03;56,21;60,75;12,55;49,33;59,57;25,22;97,04;548,11;80,56;16,45;3,13;69,13;7,64;40,61;25,33;64,8;94,13;75,4;96,86;25,69;4,44;15,38;17,58;0,33;2,22;9,62;11,8;5,83;1,33;91,57;13,94;37,12;90,35;70,57;2,19;342,03;16,26;14,94;93,89;0,54;2,23;3,96;46,04;25,79;1;0;680,75;74;519,6;728,36;2;14,06;0,3;0;0,55;0,49;32,05;90,51;78,56;0,36;33,28;41,11;471,27
Morro do Chapéu;BA;54,3;5744,97;17899,82;70,89;55,17;36,85;69,1;61,63;88,98;63,85;62,97;49,43;53,53;54,77;16,72;51,53;54,57;24,59;74,61;1770,47;157,5;13,23;4,97;57,88;38,96;64,55;16,36;72,94;90,88;86,1;95,05;45,77;1,96;21,43;22,62;2,3;6,3;10,4;40,98;4,22;11,87;52,92;10,37;47,6;95,39;70,98;2,64;417,66;17,97;8,93;85,15;4,19;14,81;8,33;50,59;24,3;6;0;117;76;3451,4;900,01;6;19,04;0,3;1,26;0,46;0,75;22,32;236,82;129,21;5,61;26,77;33,76;509,89
Mortugaba;BA;56,89;528,21;9366,92;72,75;56,94;41;76,65;55,13;86,77;72,44;68,27;47,64;60,06;51,79;18,93;55,27;73,04;16,75;96,13;1293,13;78,96;15,71;5,57;60,29;13,74;53,6;15,97;42,83;94,51;83,75;98,75;30,8;0;14,36;17,95;1,07;7,67;10,38;29,13;5,32;12,65;61,19;9,62;49,23;80,38;71,28;2,34;265,63;18,14;15,7;60,51;1,6;14,46;15,26;51,46;32,46;1;5;130;56;1592,56;1273,23;3;10,26;0,28;3,02;0,22;0,74;0;24,77;39,18;2,76;11,66;15,69;534,51
